2026-02-11 12:33:42,031 | INFO | main_rarw | main_rarw.py:52 | Seeds: ['P1']
2026-02-11 12:33:42,031 | INFO | main_rarw | main_rarw.py:53 | Alpha: 0.3
2026-02-11 12:33:42,031 | INFO | main_rarw | main_rarw.py:54 | Matrix subdir: /home/maroua/Bureau/OrphaScape_SimWalk/output/patient_added/run_20260211_123341
2026-02-11 12:33:42,032 | INFO | main_rarw | main_rarw.py:73 | Processing patient: P1
2026-02-11 12:33:42,060 | INFO | main_rarw | main_rarw.py:80 | Loaded matrix from Parquet: /home/maroua/Bureau/OrphaScape_SimWalk/output/patient_added/run_20260211_123341/P1.parquet (shape=(12, 12))
2026-02-11 12:33:42,061 | INFO | main_rarw | main_rarw.py:86 | Top 5 scores of patient P1 to RDs:
2026-02-11 12:33:42,061 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:100991 -> 4.2562
2026-02-11 12:33:42,061 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:99949 -> 4.0573
2026-02-11 12:33:42,061 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:610 -> 3.9468
2026-02-11 12:33:42,061 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:100985 -> 3.7108
2026-02-11 12:33:42,061 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:412057 -> 3.2013
2026-02-11 12:33:42,061 | INFO | main_rarw | main_rarw.py:91 | Total sum of matrix: 197.56
2026-02-11 12:33:42,061 | INFO | main_rarw | main_rarw.py:92 | ============================================================
2026-02-11 12:33:42,097 | INFO | main_rarw | main_rarw.py:137 | Wrote /home/maroua/Bureau/OrphaScape_SimWalk/output/rarw/0.3/run_20260211_123341/P1.parquet 
2026-02-11 12:33:42,480 | INFO | main_rarw | main_rarw.py:52 | Seeds: ['P2']
2026-02-11 12:33:42,480 | INFO | main_rarw | main_rarw.py:53 | Alpha: 0.3
2026-02-11 12:33:42,481 | INFO | main_rarw | main_rarw.py:54 | Matrix subdir: /home/maroua/Bureau/OrphaScape_SimWalk/output/patient_added/run_20260211_123341
2026-02-11 12:33:42,481 | INFO | main_rarw | main_rarw.py:73 | Processing patient: P2
2026-02-11 12:33:42,508 | INFO | main_rarw | main_rarw.py:80 | Loaded matrix from Parquet: /home/maroua/Bureau/OrphaScape_SimWalk/output/patient_added/run_20260211_123341/P2.parquet (shape=(12, 12))
2026-02-11 12:33:42,509 | INFO | main_rarw | main_rarw.py:86 | Top 5 scores of patient P2 to RDs:
2026-02-11 12:33:42,509 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:412057 -> 3.3634
2026-02-11 12:33:42,509 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:99949 -> 3.1087
2026-02-11 12:33:42,509 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:100985 -> 2.7188
2026-02-11 12:33:42,509 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:100991 -> 2.5954
2026-02-11 12:33:42,509 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:34516 -> 2.4051
2026-02-11 12:33:42,510 | INFO | main_rarw | main_rarw.py:91 | Total sum of matrix: 186.96
2026-02-11 12:33:42,510 | INFO | main_rarw | main_rarw.py:92 | ============================================================
2026-02-11 12:33:42,542 | INFO | main_rarw | main_rarw.py:137 | Wrote /home/maroua/Bureau/OrphaScape_SimWalk/output/rarw/0.3/run_20260211_123341/P2.parquet 
2026-02-11 12:33:42,915 | INFO | main_rarw | main_rarw.py:52 | Seeds: ['P3']
2026-02-11 12:33:42,915 | INFO | main_rarw | main_rarw.py:53 | Alpha: 0.3
2026-02-11 12:33:42,915 | INFO | main_rarw | main_rarw.py:54 | Matrix subdir: /home/maroua/Bureau/OrphaScape_SimWalk/output/patient_added/run_20260211_123341
2026-02-11 12:33:42,915 | INFO | main_rarw | main_rarw.py:73 | Processing patient: P3
2026-02-11 12:33:42,944 | INFO | main_rarw | main_rarw.py:80 | Loaded matrix from Parquet: /home/maroua/Bureau/OrphaScape_SimWalk/output/patient_added/run_20260211_123341/P3.parquet (shape=(12, 12))
2026-02-11 12:33:42,945 | INFO | main_rarw | main_rarw.py:86 | Top 5 scores of patient P3 to RDs:
2026-02-11 12:33:42,945 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:100985 -> 4.3820
2026-02-11 12:33:42,945 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:100991 -> 3.5342
2026-02-11 12:33:42,945 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:663 -> 2.8708
2026-02-11 12:33:42,945 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:99949 -> 2.7697
2026-02-11 12:33:42,945 | INFO | main_rarw | main_rarw.py:88 |   ORPHA:412057 -> 2.3054
2026-02-11 12:33:42,945 | INFO | main_rarw | main_rarw.py:91 | Total sum of matrix: 190.59
2026-02-11 12:33:42,945 | INFO | main_rarw | main_rarw.py:92 | ============================================================
2026-02-11 12:33:42,977 | INFO | main_rarw | main_rarw.py:137 | Wrote /home/maroua/Bureau/OrphaScape_SimWalk/output/rarw/0.3/run_20260211_123341/P3.parquet 
2026-02-11 12:33:43,329 | INFO | main_rarw | main_rarw.py:161 | Collecting results from: /home/maroua/Bureau/OrphaScape_SimWalk/output/rarw/0.3/run_20260211_123341
2026-02-11 12:33:43,330 | INFO | main_rarw | main_rarw.py:166 | Found 3 patient result files
2026-02-11 12:33:43,381 | INFO | main_rarw | main_rarw.py:170 | Loaded patient table: 20 rows
2026-02-11 12:33:43,410 | INFO | main_rarw | main_rarw.py:226 | Patient P3: RDI=ORPHA:35689, rank=7
2026-02-11 12:33:43,412 | INFO | main_rarw | main_rarw.py:226 | Patient P2: RDI=ORPHA:100985, rank=3
2026-02-11 12:33:43,413 | INFO | main_rarw | main_rarw.py:226 | Patient P1: RDI=ORPHA:610, rank=3
2026-02-11 12:33:43,414 | INFO | main_rarw | main_rarw.py:243 | ============================================================
2026-02-11 12:33:43,414 | INFO | main_rarw | main_rarw.py:244 | RDI STATISTICS:
2026-02-11 12:33:43,414 | INFO | main_rarw | main_rarw.py:245 | Number of patients: 3
2026-02-11 12:33:43,414 | INFO | main_rarw | main_rarw.py:246 | Mean rank: 4.33
2026-02-11 12:33:43,414 | INFO | main_rarw | main_rarw.py:247 | Median rank: 3.0
2026-02-11 12:33:43,414 | INFO | main_rarw | main_rarw.py:248 | Patients with rank=1: 0 (0.0%)
2026-02-11 12:33:43,414 | INFO | main_rarw | main_rarw.py:251 | Patients with rank<=5: 2 (66.7%)
2026-02-11 12:33:43,414 | INFO | main_rarw | main_rarw.py:254 | Patients with rank<=10: 3 (100.0%)
2026-02-11 12:33:43,422 | INFO | main_rarw | main_rarw.py:261 | Wrote RDI file: /home/maroua/Bureau/OrphaScape_SimWalk/output/rarw/0.3/RDI.xlsx
